Barcode,Date of thesis,Total checkouts since 1994,,,,,,,,,,,,,,,,,,,
14145262,1931,2,,,,,,,,,,,,,,,,,,,
15471873,1931,2,,,,,,,,,,,,,,,,,,,
12564472,1931,1,,,,,,,,,,,,,,,,,,,
15221237,1931,1,,,,,,,,,,,,,,,,,,,
12109997,1931,0,,,,,,,,,,,,,,,,,,,
12111332,1931,0,,,,,,,,,,,,,,,,,,,
12151650,1931,0,,,,,,,,,,,,,,,,,,,
12151791,1931,0,,,,,,,,,,,,,,,,,,,
12515300,1931,0,,,,,,,,,,,,,,,,,,,
12554093,1931,0,,,,,,,,,,,,,,,,,,,
12592291,1931,0,,,,,,,,,,,,,,,,,,,
12596433,1931,0,,,,,,,,,,,,,,,,,,,
12603635,1931,0,,,,,,,,,,,,,,,,,,,
12607081,1931,0,,,,,,,,,,,,,,,,,,,
12640538,1931,0,,,,,,,,,,,,,,,,,,,
12655320,1931,0,,,,,,,,,,,,,,,,,,,
12661310,1931,0,,,,,,,,,,,,,,,,,,,
12669891,1931,0,,,,,,,,,,,,,,,,,,,
12670477,1931,0,,,,,,,,,,,,,,,,,,,
12681482,1931,0,,,,,,,,,,,,,,,,,,,
12688016,1931,0,,,,,,,,,,,,,,,,,,,
15220981,1931,0,,,,,,,,,,,,,,,,,,,
15679004,1931,0,,,,,,,,,,,,,,,,,,,
15695653,1931,0,,,,,,,,,,,,,,,,,,,
15708043,1931,0,,,,,,,,,,,,,,,,,,,
14475610,1932,7,,,,,,,,,,,,,,,,,,,
12355442,1932,3,,,,,,,,,,,,,,,,,,,
12651295,1932,3,,,,,,,,,,,,,,,,,,,
12565271,1932,2,,,,,,,,,,,,,,,,,,,
12604971,1932,2,,,,,,,,,,,,,,,,,,,
12651626,1932,2,,,,,,,,,,,,,,,,,,,
12564357,1932,1,,,,,,,,,,,,,,,,,,,
12590550,1932,1,,,,,,,,,,,,,,,,,,,
12671491,1932,1,,,,,,,,,,,,,,,,,,,
15471881,1932,1,,,,,,,,,,,,,,,,,,,
17105297,1932,1,,,,,,,,,,,,,,,,,,,
11737590,1932,0,,,,,,,,,,,,,,,,,,,
11744224,1932,0,,,,,,,,,,,,,,,,,,,
11744232,1932,0,,,,,,,,,,,,,,,,,,,
11745163,1932,0,,,,,,,,,,,,,,,,,,,
12111126,1932,0,,,,,,,,,,,,,,,,,,,
12291209,1932,0,,,,,,,,,,,,,,,,,,,
12541702,1932,0,,,,,,,,,,,,,,,,,,,
12658142,1932,0,,,,,,,,,,,,,,,,,,,
12658852,1932,0,,,,,,,,,,,,,,,,,,,
12675179,1932,0,,,,,,,,,,,,,,,,,,,
15689185,1932,0,,,,,,,,,,,,,,,,,,,
15689789,1932,0,,,,,,,,,,,,,,,,,,,
15807761,1932,0,,,,,,,,,,,,,,,,,,,
16164162,1933,4,,,,,,,,,,,,,,,,,,,
12521191,1933,1,,,,,,,,,,,,,,,,,,,
12606109,1933,1,,,,,,,,,,,,,,,,,,,
12119392,1933,0,,,,,,,,,,,,,,,,,,,
12119848,1933,0,,,,,,,,,,,,,,,,,,,
12541678,1933,0,,,,,,,,,,,,,,,,,,,
12590261,1933,0,,,,,,,,,,,,,,,,,,,
12592234,1933,0,,,,,,,,,,,,,,,,,,,
12603700,1933,0,,,,,,,,,,,,,,,,,,,
12616959,1933,0,,,,,,,,,,,,,,,,,,,
12651402,1933,0,,,,,,,,,,,,,,,,,,,
12658340,1933,0,,,,,,,,,,,,,,,,,,,
12659758,1933,0,,,,,,,,,,,,,,,,,,,
12669933,1933,0,,,,,,,,,,,,,,,,,,,
12670451,1933,0,,,,,,,,,,,,,,,,,,,
12676201,1933,0,,,,,,,,,,,,,,,,,,,
12676979,1933,0,,,,,,,,,,,,,,,,,,,
12677746,1933,0,,,,,,,,,,,,,,,,,,,
12678967,1933,0,,,,,,,,,,,,,,,,,,,
12679098,1933,0,,,,,,,,,,,,,,,,,,,
15681406,1933,0,,,,,,,,,,,,,,,,,,,
15686280,1933,0,,,,,,,,,,,,,,,,,,,
15688328,1933,0,,,,,,,,,,,,,,,,,,,
12556171,1934,2,,,,,,,,,,,,,,,,,,,
12110235,1934,1,,,,,,,,,,,,,,,,,,,
12110862,1934,1,,,,,,,,,,,,,,,,,,,
12111043,1934,1,,,,,,,,,,,,,,,,,,,
12606372,1934,1,,,,,,,,,,,,,,,,,,,
12651642,1934,1,,,,,,,,,,,,,,,,,,,
11741444,1934,0,,,,,,,,,,,,,,,,,,,
11743416,1934,0,,,,,,,,,,,,,,,,,,,
12110979,1934,0,,,,,,,,,,,,,,,,,,,
12111753,1934,0,,,,,,,,,,,,,,,,,,,
12295010,1934,0,,,,,,,,,,,,,,,,,,,
12328670,1934,0,,,,,,,,,,,,,,,,,,,
12553319,1934,0,,,,,,,,,,,,,,,,,,,
12561387,1934,0,,,,,,,,,,,,,,,,,,,
12565495,1934,0,,,,,,,,,,,,,,,,,,,
12566048,1934,0,,,,,,,,,,,,,,,,,,,
12574380,1934,0,,,,,,,,,,,,,,,,,,,
12605309,1934,0,,,,,,,,,,,,,,,,,,,
12653044,1934,0,,,,,,,,,,,,,,,,,,,
126600395,1934,0,,,,,,,,,,,,,,,,,,,
12661179,1934,0,,,,,,,,,,,,,,,,,,,
12671053,1934,0,,,,,,,,,,,,,,,,,,,
12674636,1934,0,,,,,,,,,,,,,,,,,,,
12675625,1934,0,,,,,,,,,,,,,,,,,,,
12677373,1934,0,,,,,,,,,,,,,,,,,,,
12679395,1934,0,,,,,,,,,,,,,,,,,,,
12681011,1934,0,,,,,,,,,,,,,,,,,,,
12681508,1934,0,,,,,,,,,,,,,,,,,,,
15471899,1934,0,,,,,,,,,,,,,,,,,,,
15686520,1934,0,,,,,,,,,,,,,,,,,,,
15688013,1934,0,,,,,,,,,,,,,,,,,,,
15724222,1934,0,,,,,,,,,,,,,,,,,,,
15842719,1934,0,,,,,,,,,,,,,,,,,,,
12541744,1935,2,,,,,,,,,,,,,,,,,,,
11737285,1935,1,,,,,,,,,,,,,,,,,,,
12606158,1935,1,,,,,,,,,,,,,,,,,,,
12655502,1935,1,,,,,,,,,,,,,,,,,,,
12661005,1935,1,,,,,,,,,,,,,,,,,,,
13084454,1935,1,,,,,,,,,,,,,,,,,,,
15471857,1935,1,,,,,,,,,,,,,,,,,,,
11744968,1935,0,,,,,,,,,,,,,,,,,,,
11745171,1935,0,,,,,,,,,,,,,,,,,,,
11747573,1935,0,,,,,,,,,,,,,,,,,,,
12562682,1935,0,,,,,,,,,,,,,,,,,,,
12575528,1935,0,,,,,,,,,,,,,,,,,,,
12592549,1935,0,,,,,,,,,,,,,,,,,,,
12605606,1935,0,,,,,,,,,,,,,,,,,,,
12617031,1935,0,,,,,,,,,,,,,,,,,,,
12638151,1935,0,,,,,,,,,,,,,,,,,,,
12639746,1935,0,,,,,,,,,,,,,,,,,,,
12639886,1935,0,,,,,,,,,,,,,,,,,,,
12639936,1935,0,,,,,,,,,,,,,,,,,,,
12658753,1935,0,,,,,,,,,,,,,,,,,,,
12659470,1935,0,,,,,,,,,,,,,,,,,,,
12671459,1935,0,,,,,,,,,,,,,,,,,,,
12674081,1935,0,,,,,,,,,,,,,,,,,,,
12674453,1935,0,,,,,,,,,,,,,,,,,,,
12675260,1935,0,,,,,,,,,,,,,,,,,,,
12679072,1935,0,,,,,,,,,,,,,,,,,,,
14478473,1935,0,,,,,,,,,,,,,,,,,,,
15679830,1935,0,,,,,,,,,,,,,,,,,,,
15685605,1935,0,,,,,,,,,,,,,,,,,,,
15689284,1935,0,,,,,,,,,,,,,,,,,,,
15689862,1935,0,,,,,,,,,,,,,,,,,,,
15690258,1935,0,,,,,,,,,,,,,,,,,,,
15842768,1935,0,,,,,,,,,,,,,,,,,,,
15842875,1935,0,,,,,,,,,,,,,,,,,,,
16475840,1935,0,,,,,,,,,,,,,,,,,,,
15701196,1936,6,,,,,,,,,,,,,,,,,,,
13978747,1936,2,,,,,,,,,,,,,,,,,,,
15472418,1936,2,,,,,,,,,,,,,,,,,,,
15563448,1936,2,,,,,,,,,,,,,,,,,,,
12605671,1936,1,,,,,,,,,,,,,,,,,,,
12670287,1936,1,,,,,,,,,,,,,,,,,,,
12832424,1936,1,,,,,,,,,,,,,,,,,,,
13044573,1936,1,,,,,,,,,,,,,,,,,,,
15701808,1936,1,,,,,,,,,,,,,,,,,,,
11741394,1936,0,,,,,,,,,,,,,,,,,,,
11747417,1936,0,,,,,,,,,,,,,,,,,,,
12151551,1936,0,,,,,,,,,,,,,,,,,,,
12294997,1936,0,,,,,,,,,,,,,,,,,,,
12565735,1936,0,,,,,,,,,,,,,,,,,,,
12589974,1936,0,,,,,,,,,,,,,,,,,,,
12593232,1936,0,,,,,,,,,,,,,,,,,,,
12611927,1936,0,,,,,,,,,,,,,,,,,,,
12638052,1936,0,,,,,,,,,,,,,,,,,,,
12638896,1936,0,,,,,,,,,,,,,,,,,,,
12651337,1936,0,,,,,,,,,,,,,,,,,,,
12655148,1936,0,,,,,,,,,,,,,,,,,,,
12658662,1936,0,,,,,,,,,,,,,,,,,,,
12670816,1936,0,,,,,,,,,,,,,,,,,,,
12673794,1936,0,,,,,,,,,,,,,,,,,,,
12676870,1936,0,,,,,,,,,,,,,,,,,,,
12677035,1936,0,,,,,,,,,,,,,,,,,,,
12677498,1936,0,,,,,,,,,,,,,,,,,,,
12677985,1936,0,,,,,,,,,,,,,,,,,,,
12679171,1936,0,,,,,,,,,,,,,,,,,,,
12681276,1936,0,,,,,,,,,,,,,,,,,,,
12681300,1936,0,,,,,,,,,,,,,,,,,,,
12681557,1936,0,,,,,,,,,,,,,,,,,,,
14307805,1936,0,,,,,,,,,,,,,,,,,,,
14476170,1936,0,,,,,,,,,,,,,,,,,,,
15670235,1936,0,,,,,,,,,,,,,,,,,,,
15680804,1936,0,,,,,,,,,,,,,,,,,,,
15686272,1936,0,,,,,,,,,,,,,,,,,,,
15688054,1936,0,,,,,,,,,,,,,,,,,,,
15688344,1936,0,,,,,,,,,,,,,,,,,,,
15700883,1936,0,,,,,,,,,,,,,,,,,,,
16315384,1936,0,,,,,,,,,,,,,,,,,,,
14872451,1937,10,,,,,,,,,,,,,,,,,,,
12596391,1937,4,,,,,,,,,,,,,,,,,,,
12119830,1937,2,,,,,,,,,,,,,,,,,,,
12652426,1937,2,,,,,,,,,,,,,,,,,,,
13159405,1937,2,,,,,,,,,,,,,,,,,,,
12110433,1937,1,,,,,,,,,,,,,,,,,,,
12574059,1937,1,,,,,,,,,,,,,,,,,,,
12591590,1937,1,,,,,,,,,,,,,,,,,,,
12591806,1937,1,,,,,,,,,,,,,,,,,,,
12592879,1937,1,,,,,,,,,,,,,,,,,,,
12596029,1937,1,,,,,,,,,,,,,,,,,,,
12603718,1937,1,,,,,,,,,,,,,,,,,,,
12605762,1937,1,,,,,,,,,,,,,,,,,,,
17105305,1937,1,,,,,,,,,,,,,,,,,,,
17503806,1937,1,,,,,,,,,,,,,,,,,,,
12111464,1937,0,,,,,,,,,,,,,,,,,,,
12151759,1937,0,,,,,,,,,,,,,,,,,,,
12553590,1937,0,,,,,,,,,,,,,,,,,,,
12564415,1937,0,,,,,,,,,,,,,,,,,,,
12589917,1937,0,,,,,,,,,,,,,,,,,,,
12595237,1937,0,,,,,,,,,,,,,,,,,,,
12607057,1937,0,,,,,,,,,,,,,,,,,,,
12616843,1937,0,,,,,,,,,,,,,,,,,,,
12624086,1937,0,,,,,,,,,,,,,,,,,,,
12643052,1937,0,,,,,,,,,,,,,,,,,,,
12671376,1937,0,,,,,,,,,,,,,,,,,,,
12674628,1937,0,,,,,,,,,,,,,,,,,,,
12674719,1937,0,,,,,,,,,,,,,,,,,,,
12677043,1937,0,,,,,,,,,,,,,,,,,,,
12678660,1937,0,,,,,,,,,,,,,,,,,,,
12679890,1937,0,,,,,,,,,,,,,,,,,,,
12681607,1937,0,,,,,,,,,,,,,,,,,,,
14517890,1937,0,,,,,,,,,,,,,,,,,,,
15471816,1937,0,,,,,,,,,,,,,,,,,,,
15471824,1937,0,,,,,,,,,,,,,,,,,,,
15471915,1937,0,,,,,,,,,,,,,,,,,,,
15685373,1937,0,,,,,,,,,,,,,,,,,,,
15690027,1937,0,,,,,,,,,,,,,,,,,,,
15700958,1937,0,,,,,,,,,,,,,,,,,,,
15704612,1937,0,,,,,,,,,,,,,,,,,,,
15707524,1937,0,,,,,,,,,,,,,,,,,,,
15915713,1937,0,,,,,,,,,,,,,,,,,,,
12639134,1938,5,,,,,,,,,,,,,,,,,,,
12111175,1938,1,,,,,,,,,,,,,,,,,,,
12118550,1938,1,,,,,,,,,,,,,,,,,,,
12575502,1938,1,,,,,,,,,,,,,,,,,,,
12603957,1938,1,,,,,,,,,,,,,,,,,,,
12623740,1938,1,,,,,,,,,,,,,,,,,,,
12650784,1938,1,,,,,,,,,,,,,,,,,,,
12658068,1938,1,,,,,,,,,,,,,,,,,,,
15472574,1938,1,,,,,,,,,,,,,,,,,,,
17166844,1938,1,,,,,,,,,,,,,,,,,,,
11740693,1938,0,,,,,,,,,,,,,,,,,,,
11741600,1938,0,,,,,,,,,,,,,,,,,,,
11744836,1938,0,,,,,,,,,,,,,,,,,,,
11744919,1938,0,,,,,,,,,,,,,,,,,,,
12109658,1938,0,,,,,,,,,,,,,,,,,,,
12120473,1938,0,,,,,,,,,,,,,,,,,,,
12294914,1938,0,,,,,,,,,,,,,,,,,,,
12296315,1938,0,,,,,,,,,,,,,,,,,,,
12561353,1938,0,,,,,,,,,,,,,,,,,,,
12575429,1938,0,,,,,,,,,,,,,,,,,,,
12595617,1938,0,,,,,,,,,,,,,,,,,,,
12596078,1938,0,,,,,,,,,,,,,,,,,,,
12606174,1938,0,,,,,,,,,,,,,,,,,,,
12640397,1938,0,,,,,,,,,,,,,,,,,,,
12643136,1938,0,,,,,,,,,,,,,,,,,,,
12655247,1938,0,,,,,,,,,,,,,,,,,,,
12656047,1938,0,,,,,,,,,,,,,,,,,,,
12659827,1938,0,,,,,,,,,,,,,,,,,,,
12661542,1938,0,,,,,,,,,,,,,,,,,,,
12661617,1938,0,,,,,,,,,,,,,,,,,,,
12661625,1938,0,,,,,,,,,,,,,,,,,,,
12669537,1938,0,,,,,,,,,,,,,,,,,,,
12674503,1938,0,,,,,,,,,,,,,,,,,,,
12679254,1938,0,,,,,,,,,,,,,,,,,,,
12681391,1938,0,,,,,,,,,,,,,,,,,,,
13964507,1938,0,,,,,,,,,,,,,,,,,,,
14360192,1938,0,,,,,,,,,,,,,,,,,,,
15472566,1938,0,,,,,,,,,,,,,,,,,,,
15673585,1938,0,,,,,,,,,,,,,,,,,,,
15701733,1938,0,,,,,,,,,,,,,,,,,,,
15704430,1938,0,,,,,,,,,,,,,,,,,,,
12252805,1938,0,,,,,,,,,,,,,,,,,,,
12565230,1938,0,,,,,,,,,,,,,,,,,,,
12582649,1939,1,,,,,,,,,,,,,,,,,,,
12593554,1939,1,,,,,,,,,,,,,,,,,,,
12596292,1939,1,,,,,,,,,,,,,,,,,,,
12603999,1939,1,,,,,,,,,,,,,,,,,,,
12650768,1939,1,,,,,,,,,,,,,,,,,,,
12669925,1939,1,,,,,,,,,,,,,,,,,,,
12674123,1939,1,,,,,,,,,,,,,,,,,,,
17358326,1939,1,,,,,,,,,,,,,,,,,,,
11747342,1939,0,,,,,,,,,,,,,,,,,,,
12100418,1939,0,,,,,,,,,,,,,,,,,,,
12119962,1939,0,,,,,,,,,,,,,,,,,,,
12151726,1939,0,,,,,,,,,,,,,,,,,,,
12295580,1939,0,,,,,,,,,,,,,,,,,,,
12352076,1939,0,,,,,,,,,,,,,,,,,,,
12596235,1939,0,,,,,,,,,,,,,,,,,,,
12603247,1939,0,,,,,,,,,,,,,,,,,,,
12604146,1939,0,,,,,,,,,,,,,,,,,,,
12625836,1939,0,,,,,,,,,,,,,,,,,,,
12637377,1939,0,,,,,,,,,,,,,,,,,,,
12639720,1939,0,,,,,,,,,,,,,,,,,,,
12643342,1939,0,,,,,,,,,,,,,,,,,,,
12651279,1939,0,,,,,,,,,,,,,,,,,,,
12652202,1939,0,,,,,,,,,,,,,,,,,,,
12652475,1939,0,,,,,,,,,,,,,,,,,,,
12655270,1939,0,,,,,,,,,,,,,,,,,,,
12660908,1939,0,,,,,,,,,,,,,,,,,,,
12669552,1939,0,,,,,,,,,,,,,,,,,,,
12670782,1939,0,,,,,,,,,,,,,,,,,,,
12674347,1939,0,,,,,,,,,,,,,,,,,,,
12675534,1939,0,,,,,,,,,,,,,,,,,,,
12675583,1939,0,,,,,,,,,,,,,,,,,,,
12675757,1939,0,,,,,,,,,,,,,,,,,,,
12675997,1939,0,,,,,,,,,,,,,,,,,,,
12677381,1939,0,,,,,,,,,,,,,,,,,,,
12677522,1939,0,,,,,,,,,,,,,,,,,,,
12681201,1939,0,,,,,,,,,,,,,,,,,,,
12681466,1939,0,,,,,,,,,,,,,,,,,,,
12681615,1939,0,,,,,,,,,,,,,,,,,,,
15673247,1939,0,,,,,,,,,,,,,,,,,,,
15681927,1939,0,,,,,,,,,,,,,,,,,,,
15686199,1939,0,,,,,,,,,,,,,,,,,,,
15703143,1939,0,,,,,,,,,,,,,,,,,,,
15900251,1939,0,,,,,,,,,,,,,,,,,,,
12651006,1940,2,,,,,,,,,,,,,,,,,,,
12557054,1940,1,,,,,,,,,,,,,,,,,,,
12562542,1940,1,,,,,,,,,,,,,,,,,,,
12574331,1940,1,,,,,,,,,,,,,,,,,,,
12593083,1940,1,,,,,,,,,,,,,,,,,,,
12596086,1940,1,,,,,,,,,,,,,,,,,,,
12603924,1940,1,,,,,,,,,,,,,,,,,,,
12661120,1940,1,,,,,,,,,,,,,,,,,,,
12669982,1940,1,,,,,,,,,,,,,,,,,,,
12674487,1940,1,,,,,,,,,,,,,,,,,,,
15472582,1940,1,,,,,,,,,,,,,,,,,,,
11748084,1940,0,,,,,,,,,,,,,,,,,,,
12111316,1940,0,,,,,,,,,,,,,,,,,,,
12151460,1940,0,,,,,,,,,,,,,,,,,,,
12355707,1940,0,,,,,,,,,,,,,,,,,,,
12526380,1940,0,,,,,,,,,,,,,,,,,,,
12565537,1940,0,,,,,,,,,,,,,,,,,,,
12566022,1940,0,,,,,,,,,,,,,,,,,,,
12573937,1940,0,,,,,,,,,,,,,,,,,,,
12591863,1940,0,,,,,,,,,,,,,,,,,,,
12593224,1940,0,,,,,,,,,,,,,,,,,,,
12593570,1940,0,,,,,,,,,,,,,,,,,,,
12599858,1940,0,,,,,,,,,,,,,,,,,,,
12599932,1940,0,,,,,,,,,,,,,,,,,,,
12637401,1940,0,,,,,,,,,,,,,,,,,,,
12638102,1940,0,,,,,,,,,,,,,,,,,,,
